key,question,options
PERSDISCR_W29,"Have you ever personally experienced discrimination or been treated unfairly because of your gender, or not?","['Yes', 'No', 'Refused']"
NOWSMK_NHIS_W29,Do you now smoke cigarettes,"['Every day', 'Some days', 'Not at all', 'Refused']"
BLOODPR_W29,"Have you ever been told by a doctor or other health professional that you had hypertension, also called high blood pressure?","['Yes', 'No', 'Refused']"
DIFF1A_W29,Do you think men and women are basically similar or basically different when it comes to their hobbies and personal interests?,"['Men and women are basically similar', 'Men and women are basically different', 'Refused']"
DIFF1B_W29,Do you think men and women are basically similar or basically different when it comes to their physical abilities?,"['Men and women are basically similar', 'Men and women are basically different', 'Refused']"
DIFF1C_W29,Do you think men and women are basically similar or basically different when it comes to their approach to parenting?,"['Men and women are basically similar', 'Men and women are basically different', 'Refused']"
DIFF1D_W29,Do you think men and women are basically similar or basically different when it comes to how they express their feelings?,"['Men and women are basically similar', 'Men and women are basically different', 'Refused']"
DIFF1E_W29,Do you think men and women are basically similar or basically different when it comes to the things they are good at in the workplace?,"['Men and women are basically similar', 'Men and women are basically different', 'Refused']"
MASC2_W29,"Now thinking about how you see yourself, would you describe yourself as","['Very manly or masculine', 'Somewhat manly or masculine', 'Not too manly or masculine', 'Not at all manly or masculine', 'Refused']"
FEM2_W29,"Now thinking about how you see yourself, would you describe yourself as","['Very womanly or feminine', 'Somewhat womanly or feminine', 'Not too womanly or feminine', 'Not at all womanly or feminine', 'Refused']"
MASC1F1_W29,"Thinking about how society sees men these days, in general, would you say","['Most people look up to men who are manly or masculine', 'Most people look down on men who are manly or masculine', 'Neither', 'Refused']"
MASC2AF1_W29,Do you think it's a good thing or a bad thing that most people in our society look up to men who are manly or masculine?,"['Good thing', 'Bad thing', 'Refused']"
MASC2BF1_W29,Do you think it's a good thing or a bad thing that most people in our society look down on men who are manly or masculine?,"['Good thing', 'Bad thing', 'Refused']"
FEM1F2_W29,"Thinking about how society sees women these days, in general, would you say","['Most people look up to women who are womanly or feminine', 'Most people look down on women who are womanly or feminine', 'Neither', 'Refused']"
FEM2AF2_W29,Do you think it's a good thing or a bad thing that most people in our society look up to women who are womanly or feminine?,"['Good thing', 'Bad thing', 'Refused']"
FEM2BF2_W29,Do you think it's a good thing or a bad thing that most people in our society look down on women who are womanly or feminine?,"['Good thing', 'Bad thing', 'Refused']"
GOODJOBS_W29,"In general, thinking about job opportunities where you live, would you say that","['There are plenty of good jobs available', 'Good jobs are difficult to find', 'Refused']"
HELPHURTA_W29,"Thinking about your work life, has the growing number of immigrants working in this country done more to help or hurt your job or career, or hasn't it made much of a difference for your job or career?","['Has done more to help my job or career', 'Has done more to hurt my job or career', ""Hasn't made much of a difference"", 'Refused']"
HELPHURTB_W29,"Thinking about your work life, has more women in the workforce done more to help or hurt your job or career, or hasn't it made much of a difference for your job or career?","['Has done more to help my job or career', 'Has done more to hurt my job or career', ""Hasn't made much of a difference"", 'Refused']"
HELPHURTC_W29,"Thinking about your work life, has a growing emphasis on diversity in the workplace done more to help or hurt your job or career, or hasn't it made much of a difference for your job or career?","['Has done more to help my job or career', 'Has done more to hurt my job or career', ""Hasn't made much of a difference"", 'Refused']"
HELPHURTD_W29,"Thinking about your work life, has increased outsourcing of jobs to other countries done more to help or hurt your job or career, or hasn't it made much of a difference for your job or career?","['Has done more to help my job or career', 'Has done more to hurt my job or career', ""Hasn't made much of a difference"", 'Refused']"
HELPHURTE_W29,"Thinking about your work life, has automation of jobs through new technology in the workplace done more to help or hurt your job or career, or hasn't it made much of a difference for your job or career?","['Has done more to help my job or career', 'Has done more to hurt my job or career', ""Hasn't made much of a difference"", 'Refused']"
HELPHURTF_W29,"Thinking about your work life, has more foreign-made products being sold in the U.S. done more to help or hurt your job or career, or hasn't it made much of a difference for your job or career?","['Has done more to help my job or career', 'Has done more to hurt my job or career', ""Hasn't made much of a difference"", 'Refused']"
HELPHURTG_W29,"Thinking about your work life, has more U.S.-made products being sold in other countries done more to help or hurt your job or career, or hasn't it made much of a difference for your job or career?","['Has done more to help my job or career', 'Has done more to hurt my job or career', ""Hasn't made much of a difference"", 'Refused']"
TRANSGEND1_W29,"Which statement comes closer to your views, even if neither is exactly right?","['Whether someone is a man or a woman is determined by the sex they were assigned at birth', 'Someone can be a man or a woman even if that is different from the sex they were assigned at birth', 'Refused']"
SEENMASC_W29,"On a different topic how important is it to you, personally, to be seen by others as manly or masculine?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']"
SEENFEM_W29,"On a different topic how important is it to you, personally, to be seen by others as womanly or feminine?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']"
MAN1A_W29,"In general, how much pressure, if any, do you think men face in our country these days to be interested in sports?","['A lot', 'Some', 'Not too much', 'None at all', 'Refused']"
MAN1B_W29,"In general, how much pressure, if any, do you think men face in our country these days to have many sexual partners?","['A lot', 'Some', 'Not too much', 'None at all', 'Refused']"
MAN1C_W29,"In general, how much pressure, if any, do you think men face in our country these days to join in when other men are talking about women in a sexual way?","['A lot', 'Some', 'Not too much', 'None at all', 'Refused']"
MAN1D_W29,"In general, how much pressure, if any, do you think men face in our country these days to be willing to throw a punch if provoked?","['A lot', 'Some', 'Not too much', 'None at all', 'Refused']"
MAN1E_W29,"In general, how much pressure, if any, do you think men face in our country these days to be emotionally strong?","['A lot', 'Some', 'Not too much', 'None at all', 'Refused']"
MESUM1_FA_W29,"How well, if at all, do the following words or phrases describe you? Honor and duty are my core values","['Describes me well', 'Does not describe me well', 'Refused']"
MESUM1_FB_W29,"How well, if at all, do the following words or phrases describe you? Compassion and helping others are my core values","['Describes me well', 'Does not describe me well', 'Refused']"
MESUM1_FC_W29,"How well, if at all, do the following words or phrases describe you? Willing to work with people I disagree with","['Describes me well', 'Does not describe me well', 'Refused']"
MESUM1_FD_W29,"How well, if at all, do the following words or phrases describe you? Blue collar","['Describes me well', 'Does not describe me well', 'Refused']"
MESUM1_FE_W29,"How well, if at all, do the following words or phrases describe you? Focused on my professional life and career","['Describes me well', 'Does not describe me well', 'Refused']"
MESUM1_FF_W29,"How well, if at all, do the following words or phrases describe you? Interested in visiting other countries","['Describes me well', 'Does not describe me well', 'Refused']"
MESUM2_FA_W29,"How well, if at all, do the following words or phrases describe you? Environmentalist","['Describes me well', 'Does not describe me well', 'Refused']"
MESUM2_FB_W29,"How well, if at all, do the following words or phrases describe you? Have traditional values","['Describes me well', 'Does not describe me well', 'Refused']"
MESUM2_FC_W29,"How well, if at all, do the following words or phrases describe you? Supporter of the National Rifle Association NRA","['Describes me well', 'Does not describe me well', 'Refused']"
MESUM2_FD_W29,"How well, if at all, do the following words or phrases describe you? Supporter of the Black Lives Matter movement","['Describes me well', 'Does not describe me well', 'Refused']"
MESUM2_FE_W29,"How well, if at all, do the following words or phrases describe you? Supporter of rights for lesbian, gay, bisexual and transgender LGBT people","['Describes me well', 'Does not describe me well', 'Refused']"
MESUM2_FF_W29,"How well, if at all, do the following words or phrases describe you? Consider myself a feminist","['Describes me well', 'Does not describe me well', 'Refused']"
TRANSGEND2_W29,"Thinking about the people you know, including yourself, do you personally know anyone who is transgender, or not?","['Yes', 'No', 'Refused']"
TRANSGEND3_W29,Which of the following statements comes closer to your feelings?,"['Our society has gone too far in accepting people who are transgender', 'Our society has not gone far enough in accepting people who are transgender', 'Our society has been about right when it comes to accepting people who are transgender', 'Refused']"
TRAITSA_W29,"How well, if at all, do the following words or phrases describe you? Intelligent","['Very well', 'Somewhat well', 'Not too well', 'Not at all well', 'Refused']"
TRAITSB_W29,"How well, if at all, do the following words or phrases describe you? Physically attractive","['Very well', 'Somewhat well', 'Not too well', 'Not at all well', 'Refused']"
TRAITSC_W29,"How well, if at all, do the following words or phrases describe you? Nurturing","['Very well', 'Somewhat well', 'Not too well', 'Not at all well', 'Refused']"
TRAITSD_W29,"How well, if at all, do the following words or phrases describe you? Assertive","['Very well', 'Somewhat well', 'Not too well', 'Not at all well', 'Refused']"
TRAITSE_W29,"How well, if at all, do the following words or phrases describe you? Physically strong","['Very well', 'Somewhat well', 'Not too well', 'Not at all well', 'Refused']"
TRAITSF_W29,"How well, if at all, do the following words or phrases describe you? Sensitive","['Very well', 'Somewhat well', 'Not too well', 'Not at all well', 'Refused']"
BOYSF1A_W29,"When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to be leaders these days, or is it about right?","['Too much emphasis', 'Too little emphasis', 'About right', 'Refused']"
BOYSF1B_W29,"When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to talk about their feelings when they are sad or upset these days, or is it about right?","['Too much emphasis', 'Too little emphasis', 'About right', 'Refused']"
BOYSF1C_W29,"When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to stand up for themselves these days, or is it about right?","['Too much emphasis', 'Too little emphasis', 'About right', 'Refused']"
BOYSF1D_W29,"When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to do well in school these days, or is it about right?","['Too much emphasis', 'Too little emphasis', 'About right', 'Refused']"
GIRLSF2A_W29,"When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to be leaders these days, or is it about right?","['Too much emphasis', 'Too little emphasis', 'About right', 'Refused']"
GIRLSF2B_W29,"When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to talk about their feelings when they are sad or upset these days, or is it about right?","['Too much emphasis', 'Too little emphasis', 'About right', 'Refused']"
GIRLSF2C_W29,"When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to stand up for themselves these days, or is it about right?","['Too much emphasis', 'Too little emphasis', 'About right', 'Refused']"
GIRLSF2D_W29,"When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to do well in school these days, or is it about right?","['Too much emphasis', 'Too little emphasis', 'About right', 'Refused']"
SPOUSESEX_W29,Thinking about your spouse or partner is your spouse or partner of the opposite sex as you or the same sex as you?,"['Opposite sex', 'Same sex', 'Refused']"
HOOD_NHISA_W29,How much do you agree or disagree with the following statements about your neighborhood? There are people I can count on in this neighborhood,"['Definitely agree', 'Somewhat agree', 'Somewhat disagree', 'Definitely disagree', 'Refused']"
HOOD_NHISB_W29,How much do you agree or disagree with the following statements about your neighborhood? People in this neighborhood can be trusted,"['Definitely agree', 'Somewhat agree', 'Somewhat disagree', 'Definitely disagree', 'Refused']"
HOOD_NHISC_W29,How much do you agree or disagree with the following statements about your neighborhood? This is a close-knit neighborhood,"['Definitely agree', 'Somewhat agree', 'Somewhat disagree', 'Definitely disagree', 'Refused']"
LOCALELECT_W29,"The next question is about local elections, such as for mayor or a school board. Do you","['Always vote in local elections', 'Sometimes vote in local elections', 'Rarely vote in local elections', 'Never vote in local elections', 'Refused']"
PARTICIPATEA_W29,"Have you participated in any of these groups during the last 12 months, that is since September 2016? A school group, neighborhood, or community association such as PTA or neighborhood watch group","['Yes', 'No', 'Refused']"
PARTICIPATEB_W29,"Have you participated in any of these groups during the last 12 months, that is since September 2016? A service or civic organization such as American Legion or Lions Club","['Yes', 'No', 'Refused']"
PARTICIPATEC_W29,"Have you participated in any of these groups during the last 12 months, that is since September 2016? A sports or recreation organization such as a soccer club or tennis club","['Yes', 'No', 'Refused']"
S7_W29,"In the last 12 months, that is since September 2016, have you served on a committee or as an officer of any group or organization?","['Yes', 'No', 'Refused']"
S12_W29,"In the last 12 months, how often did you eat dinner with any of the other members of your household?","['Basically every day', 'A few times a week', 'A few times a month', 'Once a month', 'Less than once a month', 'Not at all', 'Refused']"
S13_W29,"This next question is about friends and family you do not live with. During the last twelve months, how often did you see or hear from friends or family, whether in-person or not?","['Basically every day', 'A few times a week', 'A few times a month', 'Once a month', 'Less than once a month', 'Not at all', 'Refused']"
TALK_CPS_W29,"In the last 12 months, how often did you talk with any of your neighbors?","['Basically every day', 'A few times a week', 'A few times a month', 'Once a month', 'Less than once a month', 'Not at all', 'Refused']"
FAVORS_CPS_W29,"In the last 12 months, how often did you and your neighbors do favors for each other?","['Basically every day', 'A few times a week', 'A few times a month', 'Once a month', 'Less than once a month', 'Not at all', 'Refused']"
WORRYRET_W29,How worried are you right now about not having enough money for retirement?,"['Very worried', 'Moderately worried', 'Not too worried', 'Not worried at all', 'Refused']"
